,,clean,smell,noise,town,district,longitude,latitude,transformed_longitude,transformed_latitude
69,光华绿苑居委会,3,0.0,0.0,华泾镇,徐汇区,121.448506461004,31.1131900902504,-2851535.4906941433,4662684.047997573
70,光明社区居委会,2,0.0,,堡镇,崇明区,121.610751852715,31.5345688297877,-2851996.611149894,4633905.658864743
71,共富新村第五居委会,3,0.0,0.0,顾村镇,宝山区,121.423363615438,31.3473855974673,-2842470.1520292535,4652446.560054467
72,共康八村一居委会,2,0.0,0.0,庙行镇,宝山区,121.428870038421,31.3261098187132,-2843556.973830114,4653220.190051708
73,共康六村一居委会,3,0.0,0.0,庙行镇,宝山区,121.436393796336,31.329580726969,-2844063.6265316955,4652676.029254112
74,共康四村第二居委会,3,0.0,0.0,彭浦新村街道,静安区,121.429496286724,31.3192593175634,-2843813.7317875675,4653526.034325308
75,内江路三八四弄居委会,3,,0.0,长白新村街道,杨浦区,121.545003597837,31.2871811809667,-2854156.148348212,4649358.354119351
76,内江路三八四弄居委会,2,,0.0,长白新村街道,杨浦区,121.545003597837,31.2871811809667,-2854156.148348212,4649358.354119351
77,凉城新村第一居委会,3,0.0,0.0,凉城新村街道,虹口区,121.471474570495,31.2925805324656,-2848024.8451183233,4652752.146951748
78,凉城新村第四居委会,3,0.0,0.0,凉城新村街道,虹口区,121.470228327775,31.2982741781108,-2847752.4502469446,4652534.407278272
79,凉州路居委会,2,,0.0,定海路街道,杨浦区,121.553178253573,31.2729827663416,-2855247.1912706206,4649647.625088515
80,凌兆新村第九居委会,1,0.0,0.0,东明路街道,浦东新区,121.492403679486,31.1476944160644,-2854073.817122566,4658811.51323185
81,凌兆新村第十一居委会,2,0.0,0.0,东明路街道,浦东新区,121.488891100244,31.1468793640914,-2853812.6127631743,4659026.334628546
82,凌兆新村第十二居委会,2,0.0,0.0,东明路街道,浦东新区,121.485772901598,31.1461890049187,-2853579.728172123,4659215.400985878
83,凌河路四居委会,3,0.0,0.0,浦兴路街道,浦东新区,121.589557094784,31.2786895591758,-2858026.745506059,4647553.988723036
84,凤翔居委会,2,1.0,0.0,朱泾镇,金山区,121.162573415131,30.9026065378614,-2834454.931982958,4687148.406658069
85,北唐社区居委会,4,0.0,1.0,青村镇,奉贤区,121.571791627181,30.929096142473,-2867068.924228599,4665499.220380211
86,北圩居委会,3,0.0,0.0,朱泾镇,金山区,121.154689297073,30.9019256593417,-2833829.9925317094,4687571.571168904
87,北翟路居委会,2,0.0,0.0,北新泾街道,长宁区,121.360085186682,31.2251334726316,-2840993.4367706534,4661593.786165946
88,医清居委会,2,,0.0,枫林路街道,徐汇区,121.451731493713,31.1996788069314,-2849209.2703724285,4658291.216265724
89,千步泾社区居委会,3,0.0,0.0,夏阳街道,青浦区,121.133898744831,31.1579135356811,-2824564.472811341,4676076.690980765
90,升平居委会,3,,0.0,南京西路街道,静安区,121.457384025952,31.2272691115803,-2848841.524761907,4656657.821563966
91,华东花苑第二居委会,2,0.0,1.0,长桥街道,徐汇区,121.430278487362,31.1502784677771,-2848943.363211035,4661776.963267166
92,华富居委会,2,0.0,0.0,漕河泾街道,徐汇区,121.438849971648,31.1753949722002,-2848889.1185849854,4660121.235691821
93,华建居委会,2,0.0,0.0,华泾镇,徐汇区,121.435082532632,31.1219310850515,-2850181.7794768126,4662924.678086654
94,华松居委会,3,0.0,0.0,新泾镇,长宁区,121.353284827233,31.2124451384324,-2840819.5267147277,4662553.625890137
95,华林路第三居委会,3,0.0,0.0,七宝镇,闵行区,121.348423955601,31.1424463602114,-2842514.159252188,4666225.867123831
96,华浜居委会,2,0.0,0.0,淞南镇,宝山区,121.492534273637,31.3506431505609,-2847986.612668704,4648851.353722805
97,华阳路三居委会,2,0.0,0.0,华阳路街道,长宁区,121.419661886287,31.2246765396906,-2845852.7608034527,4658659.5865475815
98,华阳路二居委会,2,1.0,0.0,华阳路街道,长宁区,121.418177060622,31.2282570780017,-2845624.7473527966,4658557.703276655
99,华阳路四居委会,3,,0.0,华阳路街道,长宁区,121.418511647094,31.2233282598913,-2845799.631206096,4658782.848165994
100,华阴路居委会,2,0.0,1.0,宜川路街道,普陀区,121.440627226265,31.263440063708,-2846394.4404143705,4655715.999121842
101,南一村第一居委会,3,,0.0,漕河泾街道,徐汇区,121.434480892479,31.1743370250337,-2848565.420036413,4660390.27145743
102,南丹居委会,3,0.0,0.0,徐家汇街道,徐汇区,121.425687062508,31.1936445124842,-2847272.1852126503,4659881.589210876
103,南塘居委会,3,0.0,0.0,打浦桥街道,黄浦区,121.46764930597,31.205779277092,-2850320.3990628095,4657200.597940075
104,南天潼居委会,3,0.0,0.0,四川北路街道,虹口区,121.479316272927,31.2463397886504,-2850051.258043308,4654631.849966055
105,南新六村居委会,2,0.0,0.0,北蔡镇,浦东新区,121.533023506729,31.1744647665357,-2856572.74169922,4655477.904303993
106,南新四村居委会,2,0.0,0.0,北蔡镇,浦东新区,121.536963742382,31.1753586144085,-2856866.059659059,4655237.722575798
107,南杨居委会,2,0.0,0.0,北蔡镇,浦东新区,121.530174224261,31.1735814596167,-2856367.7348889196,4655663.164451935
108,南赵巷居委会,2,,0.0,徐家汇街道,徐汇区,121.440099826945,31.1935097427804,-2848448.3259896403,4659171.812789302
