,_id,exploreid,name_en,name_zh_Hans,lines,lat,lng,x,y,code,phonetic,multiline,transformed_longitude,transformed_latitude
139,592,620,Shanghai Children's Medical Center,上海儿童医学中心,6,31.2059101791363,121.519453529213,99355452,-5479083,,Shànghǎi Értóng Yīxué Zhōngxīn,0,-2854526.130013014,4654615.155111504
140,593,621,Linyi Xincun,临沂新村,6,31.195567680013095,121.51264608098872,99355452,-10347254,,Línyí Xīncūn,0,-2854283.5785856335,4655460.705595586
141,594,"622,706",West Gaoke Road,高科西路,67,31.187876628487217,121.5056723375537,97907501,-17968928,,Gāokē Xīlù,0,-2853947.7078021355,4656184.608956529
142,595,623,Dongming Road,东明路,6,31.174649862548524,121.50672376348268,92586902,-23648424,,Dōngmíng Lù,0,-2854429.9451561985,4656779.572481787
143,596,624,Gaoqing Road,高青路,6,31.1612239197168,121.511583928836,87498906,-28724304,,Gāoqīng Lù,0,-2855227.6184902755,4657194.22276019
144,597,625,West Huaxia Road,华夏西路,6,31.15202882199568,121.51062905981452,85498906,-33755359,,Huáxià Xīlù,0,-2855425.682628265,4657691.487018285
145,598,626,Shangnan Road,上南路,6,31.15118410063422,121.50168121053818,81978696,-38521569,,Shàngnán lù,0,-2854723.574350729,4658178.668954418
146,599,627,South Lingyan Road,灵岩南路,6,31.15076173713011,121.49116695120388,75076057,-38521569,,Língyán Nánlù,0,-2853881.3650158034,4658723.112745926
147,600,822,Chengshan Road,成山路,8,31.172520189720757,121.49204671574748,75522447,-24263069,,Chéngshān Lù,0,-2853300.8054319415,4657614.840832426
148,601,823,Yangsi,杨思,8,31.16314722424452,121.48924648954431,67827232,-31921859,,Yángsī,0,-2853354.1020846083,4658212.918400043
149,602,825,Lingzhao Xincun,凌兆新村,8,31.143351706078448,121.48470819188888,55329962,-47117269,,Língzhào Xīncūn,0,-2853578.1203427566,4659407.174492823
150,603,826,Luheng Road,芦恒路,8,31.12019966336012,121.49364531232528,55329962,-53610829,,Lúhéng Lù,0,-2854998.1586119,4660093.6362141445
151,604,827,Pujiang Town,浦江镇,8,31.0984108297015,121.50200307561994,55329962,-59967269,,Pǔjiāng Zhèn,0,-2856330.094806561,4660741.331011311
152,605,828,Jiangyue Road,江月路,8,31.086007701192987,121.50428831769408,55329962,-65900179,,Jiāngyuè Lù,0,-2856887.083659201,4661232.876880471
153,606,829,Lianhang Road,联航路,8,31.075881873121517,121.50618732168272,55329962,-72106429,,Liánháng Lù,0,-2857344.4518650505,4661632.318975473
154,607,830,Shendu Highway,沈杜公路,8,31.063825034311073,121.50789320661517,55329962,-78311508,,Shéndù Gōnglù,0,-2857843.781735602,4662135.408461068
155,608,701,Huamu Road,花木路,7,31.21351715303476,121.55799687101415,125804379,3833022,,Huāmù Lù,0,-2857427.9567581387,4652321.440254404
156,609,703,Fanghua Road,芳华路,7,31.195393307487524,121.5457445402276,114736509,-7546764,,Fānghuá Lù,0,-2856977.6941939597,4653819.608653979
157,610,704,Jinxiu Road,锦绣路,7,31.189703080368485,121.53597057058045,109561804,-12757994,,Jǐnxiù Lù,0,-2856354.667592805,4654585.398604636
158,611,705,South Yanggao Road,杨高南路,7,31.18997842181507,121.5195769090819,104387194,-17968928,,Yánggāo Nánlù,0,-2855014.4999208725,4655389.000790251
159,612,707,Yuntai Road,云台路,7,31.184443904966436,121.4961022157848,90148516,-17968349,,Yúntái Lù,0,-2853272.9074177644,4656829.284568865
160,613,709,Changqing Road,长清路,7,31.176761128853773,121.4818114061531,71691487,-17968928,,Chángqīng Lù,0,-2852341.614005884,4657916.906748948
161,614,711,Middle Longhua Road,龙华中路,7,31.18698929545971,121.45262133217508,55886212,-11302719,,Lónghuá Zhōng Lù,0,-2849661.838252573,4658868.585067791
162,615,"713,915",Zhaojiabang Road,肇嘉浜路,79,31.2011818922475,121.445920595983,55886412,7795912,,Zhàojiābāng Lù,0,-2848691.776756754,4658506.505270681
163,616,716,Changping Road,昌平路,7,31.23550887096672,121.43801629735464,55886117,33369056,,Chāngpíng Lù,0,-2847020.207816187,4657216.403179019
164,617,717,Changshou Road,长寿路,7,31.241906972754,121.433634573393,54054572,39336146,,Chángshòu Lù,0,-2846472.1789642917,4657120.218304847
165,618,719,Langao Road,岚皋路,7,31.257871500842576,121.41732037259878,49894027,50442106,,Lángāo Lù,0,-2844667.35721853,4657146.895444401
166,619,720,Xincun Road,新村路,7,31.26554768777812,121.41823232366228,49894027,55576235,,Xīncūn Lù,0,-2844511.2477228288,4656724.702106566
167,620,721,Dahuasan Road,大华三路,7,31.27587332940021,121.41857564641492,49894027,60710365,,Dàhuásān Lù,0,-2844229.366721664,4656200.51859227
168,621,722,Xingzhi Road,行知路,7,31.2865554190806,121.41739547445148,49894027,65844545,,Xíngzhī Lù,0,-2843812.8932384667,4655734.291321421
169,622,723,Dachang Town,大场镇,7,31.29511855521296,121.41181647969807,49894027,70978675,,Dàchǎng Zhèn,0,-2843102.5358714284,4655590.3274172535
170,623,724,Changzhong Road,场中路,7,31.305532627338746,121.40906989766772,49894027,76112806,,Chǎngzhōng Lù,0,-2842566.73804268,4655214.640079848
171,624,725,Shangda Road,上大路,7,31.315982211645306,121.40426337911234,49894027,81246934,,Shàngdà Lù,0,-2841862.4667019313,4654939.187091323
172,625,726,Nanchen Road,南陈路,7,31.32324124036045,121.39352381421992,49894027,86381114,,Nánchén Lù,0,-2840771.958260634,4655114.663621712
173,626,727,Shanghai University,上海大学,7,31.322581351783608,121.38400733663276,49894027,91515244,,Shànghǎi Dàxué,0,-2840018.5409859745,4655618.905139524
174,627,916,Jiashan Road,嘉善路,9,31.204579548770013,121.45620167447824,62449008,7795622,,Jiāshàn Lù,0,-2849425.8028696757,4657828.7846004255
175,628,917,Dapuqiao,打浦桥,9,31.208149186069853,121.46382987691672,68544127,7795622,,Dǎpǔqiáo,0,-2849938.874703916,4657274.468187885
176,629,918,Madang Road,马当路,9,31.211425058557044,121.47275626852216,74638657,7795912,,Mǎdāng Lù,0,-2850566.1600293256,4656669.888956937
177,630,920,Xiaonanmen,小南门,9,31.218838939112512,121.493977906247,86937386,7795622,,Xiǎonánmén,0,-2852068.188195279,4655250.504027672
178,631,921,Shangcheng Road,商城路,9,31.232435659386415,121.51177704526712,95328011,15604411,,Shāngchéng Lù,0,-2853105.746061045,4653698.011492633
